Path,Type,Purpose,Dependencies,Status,LOC,Priority
src/App.tsx,Component,Main application component,"React Router, TradingStore",Healthy,~50,Medium
src/main.tsx,Entry,Application entry point,"React, App component",Healthy,~20,High
src/index.css,Styles,Global styles and design tokens,Tailwind CSS,Healthy,~100,Medium
src/types/session.ts,Types,Session and candle data interfaces,None,Healthy,~80,High
src/types/trading.ts,Types,Trading and ML prediction interfaces,None,Updated,~130,High
src/store/TradingStore.tsx,Store,Global state management,"Zustand, session types",Healthy,~200,High
src/lib/utils.ts,Utils,Utility functions,"clsx, tailwind-merge",Healthy,~50,Low
src/pages/Index.tsx,Page,Main trading dashboard,"80+ components",Needs Fix,~150,High
src/pages/NotFound.tsx,Page,404 error page,Basic React,Healthy,~30,Low
src/services/predictionService.ts,Service,Core prediction algorithms,"CandleData, ML service",Large File,558,Critical
src/services/advancedMLService.ts,Service,Advanced ML prediction models,"Neural networks, TensorFlow",Large File,1209+,Critical
src/services/professionalMLService.ts,Service,Professional ML ensemble,"Advanced algorithms",Unknown,Unknown,High
src/services/marketDataService.ts,Service,Real-time market data,"WebSocket, API calls",Needs Review,Unknown,High
src/services/riskManagementService.ts,Service,Risk calculation and management,"Statistical models",Needs Review,Unknown,High
src/services/candleService.ts,Service,Candle data processing,"Session management",Healthy,Unknown,Medium
src/services/sessionService.ts,Service,Session state management,"Supabase, persistence",Healthy,Unknown,Medium
src/components/ui/AdvancedMLEngine.tsx,Component,ML model interface,"ML services, charts",Fixed,430+,High
src/components/ui/AdvancedTechnicalAnalysis.tsx,Component,Technical analysis dashboard,"Pattern detection",Needs Fix,Unknown,High
src/components/ui/BinaryOptionsPredictor.tsx,Component,Main prediction interface,"Session, prediction",Fixed,110,High
src/components/ui/RealTimeDataFeed.tsx,Component,Live market data display,"Market service, streaming",Needs Fix,395,High
src/components/ui/RiskManagementDashboard.tsx,Component,Risk monitoring interface,"Risk service, charts",Needs Fix,Unknown,High
src/components/ui/TechnicalIndicators.tsx,Component,Technical indicator widgets,"RSI, MACD, Moving Averages",Fixed,26,Medium
src/components/ui/TradingSignals.tsx,Component,Signal generation and display,"Market sentiment, tips",Needs Fix,Unknown,Medium
src/components/ui/PriceChart.tsx,Component,Candlestick chart display,"Recharts, candle data",Healthy,Unknown,Medium
